,speechiness,tempo
3d90ERLBxR3o44o4r9hWTl,0.111,129.873
0QL1OyOKoZnBnGTkckXjSP,0.228,98.885
2L9iSllvdfTZH4H7UQ7bJR,0.05,121.969
5wZv3YevrrMZBlNrUTI4Yd,0.0372,207.676
7FfpP3YZ6fOWMdxkIAtud9,0.129,163.043
22Cj3SdQUmdYWTe5ntVx46,0.0543,163.949
5PQmSHzWnlgG4EBuIqjac2,0.247,93.908
4OxtqhSBnOsgGc1yfYAfOn,0.0399,97.847
0VgrGgMfbJgyOtBZKdARQG,0.0281,141.123
7GVMCGAb93vilO00zKi3A5,0.0291,151.967
1qju0WsEHiDZoOBBDp8aAk,0.281,95.008
6ZhC2rwZHL1BtiXrkeuubW,0.0669,100.015
1QJLm4mdmqRkXXbHc4pYWY,0.22,132.008
46Xnj8vZFwOZCE4aZNXlTf,0.0887,135.902
7LZN7FkxHZk6maiN6NdI2i,0.0273,115.038
6fybp4N6eW3bsFAvARxyVe,0.0416,139.138
709mE8DsQXyTkjIF5vHv0i,0.122,162.107
4BdoRSMhsiaAXM71CAgbyc,0.0389,149.985
4a8aZuUCMmoZIXeb5jos9i,0.0368,92.671
5JypFayfT1V5OG4xJ8q7jK,0.0307,135.516
0kbLBB45YGGWNu3AUL6FIL,0.04,104.111
6WNZ22iJe51C0CfcT97GKC,0.343,78.061
0KHGoo7FwwOXphwViJjyIl,0.0325,130.054
6skvUcjOmyE5ADFDW7St6z,0.0284,127.649
6NWl2m8asvH83xjuXVNsuG,0.165,119.958
1wR2gZSO8fdwO5CayLp9SN,0.135,91.168
1rEOmJZYB8fXE0V0fJ9nHF,0.297,87.028
00EhzXcoejkD5RWoS8L4IX,0.396,92.978
2qwUkaQHhl86gI7zPC26P8,0.0321,103.009
0FUNbmt2zPrwrjyfzvoxdS,0.257,118.006
3DVNhZJWQL65Zri5oDEBwF,0.0561,79.938
6QlmzxCyQGBnp3C2CoaNB3,0.0504,102.161
2x9O30ZFx8EpAgxndaHh4V,0.136,100.467
5xh8dgSO5ylEQAjvbpTDs6,0.349,85.394
7JjzVELpOxqsKP4jNcZXlA,0.0434,124.98
5TXDeTFVRVY7Cvt0Dw4vWW,0.259,139.999
5zaIgI9HNUPIcfaeVRlxGa,0.289,99.995
6EAxaAk1eZx0aqqH4ff4rP,0.0412,109.233
1mPPo1eG1joz3HX0Ecw9LL,0.0627,150.151
7zH65FdaF3H2C1YZRyzYtM,0.543,205.984
4F8JgSAhDLib5yoUoykMMZ,0.362,173.891
1rO8SV0CvDFyvYhPF35IUE,0.0822,147.057
4pqQHdgkbObxBIvSczOXcP,0.035,125.988
371wHShA5ERqTuwuRj8xgG,0.0427,123.974
1foZ6lME7wgsLM3tGKF0M1,0.038,125.151
2O9S5fAYQqHUBP4cG7NHst,0.0365,127.991
7HwKzQBybHSHqdLv25VdtU,0.294,110.052
2HJQcyUpmUuvzS5vBAICIc,0.0505,99.951
4nL7dTCH6Df5kz8MMlKwa0,0.0436,128.011
62aVFXkx5fSKQdN1K4KLmW,0.0372,123.97
3yOmiF1B8krs5XNfyinpEC,0.075,128.066
3I7krC8kr0gFR7P6vInR1I,0.0279,90.012
0TqnTn0sJy9VdS4Z797rzJ,0.0407,120.885
4LoMziEaxdkrSMXtavIJqL,0.137,140.009
6TlCQBVenVdJWJknrVeCYr,0.0616,124.867
0LDFH1WLQ6NPEMH556LUGs,0.245,172.12
